Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,"Blackbird Laboratories, Inc..",The National Center to Accelerate Cures,"$3,000,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,The Maryland Center at Bowie State,Quantum Computing Breakthrough Against Cancer,"$700,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,"University of Maryland, Baltimore",UM–MIND X–CHANGE,"$2,910,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CO,University of Colorado Boulder,"Wildfire Education, Research and Training Laboratory","$1,887,000.00 ",Bennet, Hickenlooper
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CO,University of Colorado Denver,Quantum Laboratory Equipment,"$778,000.00 ",Bennet, Hickenlooper
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CT,Naval & Maritime Consortium,Cybersecurity Readiness Initiative for the Maritime Indus-,"$689,000.00 ",Blumenthal, Murphy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, DE,University of Delaware,Biopharmaceutical Manufacturing Equipment,"$3,604,000.00 ",Blunt Rochester, Coons
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AR,University of Arkansas at Little Rock,Integrated Nanotechnology Sciences Research,"$3,000,000.00 ",Boozman,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AR,"University of Arkansas, Fayetteville",Power Packaging Center of Excellence,"$3,500,000.00 ",Boozman,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,Alabama State University,Mechanical Engineering Degree Program,"$500,000.00 ",Britt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,Auburn University,Development of Digital Technologies,"$1,000,000.00 ",Britt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,The University of Alabama,Detection and Prevention of Aquaculture Product,"$1,000,000.00 ",Britt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,Gonzaga University,Gonzaga University Center for Materials Research,"$1,000,000.00 ",Cantwell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,University of Washington,UW Interdisciplinary Engineering Building Equipment,"$2,000,000.00 ",Cantwell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,Washington State University,WSU National Semiconductor Crystal Growth Center,"$2,000,000.00 ",Cantwell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WV,BridgeValley Community and Tech-,Applied Energy Systems Lab for Renewable Workforce,"$800,000.00 ",Capito, Justice
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WV,West Virginia University Research,Instrumentation for BioNano and Chemistry NMR Research,"$2,200,000.00 ",Capito, Justice
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,University of New Orleans,University of New Orleans Advance Computing and Chem-,"$1,350,000.00 ",Cassidy,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,Louisiana State University,Electronic Microscopy Sight,"$2,500,000.00 ",Cassidy, Kennedy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,University of Louisiana Lafayette,Semiconductor Technology Center,"$5,000,000.00 ",Cassidy, Kennedy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ME,Central Maine Growth Council,Maine High-Performance Computing Hub,"$6,200,000.00 ",Collins,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ME,"Penquis C.A.P, Inc. .",3D–Printing Research and Development,"$1,270,000.00 ",Collins,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, DE,Christiana Care Health Services,Expansion of Gene Editing Learning Lab,"$500,000.00 ",Coons,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, IL,William Rainey Harper College,Harper College Quantum Workforce Education and Training,"$765,000.00 ",Duckworth,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, PA,Juniata College,Advanced Chemistry Instrumentation for Pennsylvania Stu-,"$400,000.00 ",Fetterman, McCormick
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, PA,King’s College,King’s College Cybersecurity Lab,"$300,000.00 ",Fetterman, McCormick
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, PA,University of Pittsburgh,Western Pennsylvania Shared Quantum Information Core,"$400,000.00 ",Fetterman, McCormick
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NE,University of Nebraska Board of Re-,Scientific Instrumentation for Biomedical Research,"$3,000,000.00 ",Fischer,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NE,University of Nebraska Board of Re-,Instrumentation for Advanced Water Research,"$1,000,000.00 ",Fischer,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NE,University of Nebraska Board of Re-,Growing Nebraska’s Bioeconomy,"$1,000,000.00 ",Fischer,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,The Research Foundation for The,SUNY Albany—Cleanroom Equipment Update,"$1,521,000.00 ",Gillibrand,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,New York University,Quantum Research Equipment,"$1,000,000.00 ",Gillibrand, Schumer
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,Rensselaer Polytechnic Institute,Biomanufacturing Equipment,"$1,000,000.00 ",Gillibrand, Schumer
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,Rochester Institute of Technology,Rochester Quantum Network (RoQNET),"$2,000,000.00 ",Gillibrand, Schumer
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,Syracuse University,Semiconductor Thermal Noise Testbed,"$1,000,000.00 ",Gillibrand, Schumer
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,Trudeau Institute Inc. .,Modernization of Instrumentation and Analytical Capabili-,"$2,500,000.00 ",Gillibrand, Schumer
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,Case Western Reserve University,Advanced Product Manufacturing Technologies Initiative,"$1,750,000.00 ",Husted,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,Ohio University,Research Equipment for U.S. Energy Leadership and Sup-,"$1,250,000.00 ",Husted,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,Transportation Research Center,Impact Lab Equipment,"$1,500,000.00 ",Husted, Moreno
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,University of Dayton,Nanoscience Device Research and Workforce Development,"$1,250,000.00 ",Husted, Moreno
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MS,Mississippi State University,Secured Research Computing Infrastructure,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MS,Mississippi State University,Agriculture Autonomy Technology Incubator,"$1,100,000.00 ",Hyde-Smith, Wicker
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MS,University of Mississippi,Graphene and Graphene-Like Low-Dimensional Materials,"$4,000,000.00 ",Hyde-Smith, Wicker
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, VA,Old Dominion University,Old Dominion University’s Center of Excellence in Trust-,"$1,500,000.00 ",Kaine, Warner
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,Health Sciences Center,Medical Education Building Laboratory Research Equip-,"$7,500,000.00 ",Kennedy,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MA,Endicott College,Preparing Next-Gen Engineers,"$786,000.00 ",Markey, Warren
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MA,Woodwell Climate Research Center,Soil Carbon Sampling and Analysis Laboratory,"$800,000.00 ",Markey, Warren
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MA,Worcester Polytechnic Institute,An End to Forever Chemicals in Worcester County,"$1,500,000.00 ",Markey, Warren
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OR,Oregon State University,Bioscience AI Computing Cluster,"$2,000,000.00 ",Merkley, Wyden
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OR,Oregon State University,Next Generation Semiconductor Test Facility,"$2,520,000.00 ",Merkley, Wyden
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OR,Portland State University,Semiconductor,"$2,000,000.00 ",Merkley, Wyden
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OR,University of Oregon,"Imaging and
Equipment.","$3,000,000.00 ",Merkley, Wyden
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Kansas City Kansas Community Col-lege.,Advanced Manufacturing Workforce Enhancement Program,"$3,000,000.00 ",Moran,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Kansas State University,Bioprocessing,"$4,000,000.00 ",Moran,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Kansas State University,"ment Innovation Center—Equipment.
Advanced Manufacturing","$5,004,000.00 ",Moran,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Wichita State University,Advanced Manufacturing Technology and Equipment,"$5,000,000.00 ",Moran,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,Sinclair Community College,Enhanced Manufacturing Education Center,"$1,145,000.00 ",Moreno,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,University of Akron,Polymer R&D and Production Facility,"$1,000,000.00 ",Moreno,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OK,Mid-America Christian University,Engineering and Artificial Intelligence Technology Project,"$1,300,000.00 ",Mullin,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OK,University of Tulsa,Cooperative and Secure Physical AI Systems,"$3,000,000.00 ",Mullin,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AK,University of Alaska Anchorage,Biotechnology Research Commercialization Initiative,"$1,500,000.00 ",Murkowski,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,University of Washington,Radiocarbon Lab Upgrades,"$1,500,000.00 ",Murray,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,University of Washington,Kirsten Wind Tunnel Improvements,"$3,000,000.00 ",Murray,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,University of Washington,Husky Secure Computing Data & Infrastructure,"$10,000,000.00 ",Murray,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MI,Michigan Technological University,Safe and Secure AI Manufacturing Implementation Pro-gram.,"$2,000,000.00 ",Peters, Slotkin
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,American Museum of Natural History,Advancing Emerging Technologies and Scientific Discovery,"$1,000,000.00 ",Schumer,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,The Research Foundation for The,"through the Digital Twinning of Scientific Specimens.
CNSE 200mm Wafer Cleanroom Equipment","$1,000,000.00 ",Schumer,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NH,"State University of New York, Uni-versity at Albany.
University of New Hampshire",Building Capacity for PFAS Analysis in New Hampshire,"$890,000.00 ",Shaheen,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MT,Montana State University,VITAL and Bioinformatics Facilities Equipment,"$3,000,000.00 ",Sheehy,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,Loyola University Maryland,Donnelly Science Center Research Lab,"$2,000,000.00 ",Van Hollen,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,Morgan State University,"Equipment for the Center for Education and Research in
Microelectronics.","$3,400,000.00 ",Van Hollen,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,Hood College,Biomedical Research and Training Center,"$2,500,000.00 ",Alsobrooks,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,Morgan State University,Molecular Biology Research Laboratory,"$5,500,000.00 ",Alsobrooks,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ME,University of Maine,University of Maine Health Science Complex,"$45,000,000.00 ",Collins,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KY,University of Kentucky,Healthy Kentucky Research Building,"$35,000,000.00 ",McConnell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KY,University of Louisville,Center for Bioscience,"$70,000,000.00 ",McConnell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Kansas State University,Bioprocessing & Industrial Value Added Products Equip-ment Innovation Center—Construction.,"$8,000,000.00 ",Moran,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,University of Kansas,University of Kansas Cancer Center,"$36,000,000.00 ",Moran,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", CT,Connecticut College,Thames River Marine Habitat Feasibility Study,"$56,000.00 ",Blumenthal, Murphy
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", CT,CORR—Collective Oyster Recycling &,Connecticut Shell Recycling and Shellfish Restoration Col-,"$184,000.00 ",Blumenthal, Murphy
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", HI,Department of Land and Natural Re-,Invasive Species in Pearl Harbor,"$400,000.00 ",Hirono, Schatz
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AL,The University of South Alabama,Severe Weather Prediction Enhancement,"$2,000,000.00 ",Britt,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MD,University of Maryland Center for En-,Chesapeake Global Collaboratory,"$1,000,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AL,Alabama Port Authority,Study of Sediment Management in Mobile Harbor,"$500,000.00 ",Britt, Tuberville
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MD,The National Aquarium,Animal Rescue Program,"$725,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", WA,Maritime Blue,Real-time Southern resident orca hydrophone location,"$482,000.00 ",Cantwell,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MD,Maryland Department of Natural Re-,Blue Catfish (Invasive Species) Mitigation,"$2,000,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AL,Alabama Wildlife Federation,Oyster Reef Restoration in Mobile Bay,"$1,000,000.00 ",Britt,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", WA,Metropolitan Park District of Tacoma,Titlow Lagoon Restoration,"$1,000,000.00 ",Cantwell,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", ME,The Bluefin Collaborative,Bluefin Tuna Research,"$129,000.00 ",Collins,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MD,Anacostia Watershed Society,Watershed Research Equipment,"$250,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", ME,University of Maine,American Lobster Settlement Index Expansion,"$1,000,000.00 ",Collins, King
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MD,"University of Maryland, Baltimore",UMBC Laboratory for Flood Risk Impact Assessment and,"$1,000,000.00 ",Alsobrooks,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", ME,University of Maine,Gulf of Maine Ocean Observation System,"$5,000,000.00 ",Collins, King
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", NY,"Fund for the City of New York, Inc. .",Freshkills Biological Station—Research Station,"$979,000.00 ",Gillibrand,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", SC,SC Department of Natural Resources,The South Carolina Department of Natural Resources,"$825,000.00 ",Graham,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", SC,South Carolina Aquarium,South Carolina Aquarium,"$441,000.00 ",Graham,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MD,"EarthReports, Inc. dba Patuxent",Pollution-Monitoring Project and Equipment,"$1,057,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", CT,Inter District Committee for Project,Equipment Purchase for Marine Science Education,"$765,000.00 ",Blumenthal, Murphy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services Construction, WA,Washington State University,Scientific Research Center,"$50,000,000.00 ",Murray,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services Construction, MD,Maryland Institute College of Art,Bio-Design Innovation Hub,"$897,000.00 ",Van Hollen,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services Construction, NH,New Hampshire Fish and Game De-,Great Bay National Estuarine Research Reserve: Research,"$5,000,000.00 ",Shaheen,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", RI,University of Rhode Island,URI Ocean Research,"$1,250,000.00 ",Reed, Whitehouse
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", RI,Salve Regina University,"Salve Education, Engagement, & Aquaculture","$1,200,000.00 ",Reed,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MI,Great Lakes Commission,Great Lakes Regional Coordination,"$1,500,000.00 ",Peters,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", WA,The SeaDoc Society,Integrated Solutions for Killer Whale Recovery,"$850,000.00 ",Murray,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", WA,American Rivers,Growing a Flood Resilient Washington State,"$1,650,000.00 ",Murray,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,University of Alaska Fairbanks,Improving Salmon Counting with Drone Maritime Lidar,"$1,500,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,Sealaska Heritage Institute,Marine Workforce Programs for Alaska Youth,"$500,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,Prince William Sound Science Center,PWSSC Oceanography Profiler,"$355,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,North Pacific Research Board,Northern Bering Sea Integrated Ecosystem Research Pro-gram.,"$2,500,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,Bristol Bay Science and Research In-stitute.,"Use of In-season Genetic Analysis to Reduce Bycatch of
Western Alaska Chum Salmon in the Pollock Fishery.","$3,500,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", HI,"Department of Land and Natural Re-sources, Division of Aquatic Re-sources.",Wailoa Aquaculture Facility,"$775,000.00 ",Hirono, Schatz
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,Bering Sea Fishermen’s Association,Capacity Building to Support Cooperating Agency Status,"$500,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,Alaska Ocean Observing System,"Deploying Imaging Flow Cytobots for the Detection of
Harmful Algal Blooms in Coastal Alaska.","$165,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", AK,Alaska Fisheries Development Foun-dation.,Alaska Seafood Modernization Initiative,"$2,000,000.00 ",Murkowski,
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MA,Coonamessett Farm Foundation,"Fishing for the Future: Developing Resilient Fisheries for
Massachusetts.","$1,875,000.00 ",Markey, Warren
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MA,Charles River Watershed Association,Resilience in the Charles River Watershed,"$500,000.00 ",Markey, Warren
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MA,American Association of State Cli-matologists.,Massachusetts Office of Climate Science NOAA Pilot,"$375,000.00 ",Markey, Warren
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", VA,"Middle Peninsula Planning District
Commission.",Coastal Virginia Water-Level Monitoring Program,"$802,000.00 ",Kaine, Warner
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MS,University of Southern Mississippi,Geospatial Science for Disaster and Emergency Manage-ment (GeoDEM).,"$1,426,000.00 ",Hyde-Smith, Wicker
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", MS,"Mississippi Wildlife Fisheries Parks
Marine Foundation.",Mississippi Oyster Restoration and Workforce Program,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", HI,Hawaii Department of Agriculture,Restorative Aquaculture Feasibility Study,"$500,000.00 ",Hirono, Schatz
Department of Commerce,"National Oceanic and Atmospheric Administration Operations, Research, and Facilities", HI,"Department of Land and Natural Re-sources, Division of Aquatic Re-sources.",Kauai Coral Recovery Project,"$500,000.00 ",Hirono, Schatz
