Agency,Account,Recipient,Project,State,Amount,Requested by,Requested by 2
General Services Administration,General Services Administration,General Services Administration,Anchorage Federal Building Roof,AK,2500000,Murkowski,
General Services Administration,General Services Administration,General Services Administration,Juneau Federal Building Repairs,AK,2232000,Murkowski,
General Services Administration,General Services Administration,United States Courts for the Middle District of Alabama,Dothan Federal Building and U.S. Courthouse,AL,"5,000,000",Britt,
General Services Administration,General Services Administration,U.S. District Court—Northern District of Alabama,Hugo L. Black U.S. Courthouse,AL,"4,000,000",Britt,
General Services Administration,General Services Administration,J. Caleb Boggs Federal Building and U.S. Court- house,Capital Improvements and Safety Upgrades,DE,"3,014,000",Coons,
General Services Administration,General Services Administration,"United States District Court, Northern District of Georgia","Improvements to Richard B. Russell Building in At- lanta, Georgia",GA,"1,580,000",Ossoff,Warnock
General Services Administration,General Services Administration,William M. Colmer Federal Building & U.S. Court- house,Colmer Building—Exterior Tuckpoint and Caulking,MS,"1,088,000",Hyde-Smith,
General Services Administration,General Services Administration,Dan M. Russell Jr. United States Courthouse,Lightning Protection System—Russell Courthouse,MS,"3,448,000",Hyde-Smith,
General Services Administration,General Services Administration,General Services Administration,Sallyport at Pierre Federal Building,SD,"750,000",Rounds,
National Archives and Records Administration,National Archives and Records Administration,Alaska Library Network,Arctic Digital Library Project,AK,"100,000",Murkowski,
National Archives and Records Administration,National Archives and Records Administration,Alaska Music Archives,Voices Across Generations: A Native Alaska Audio Preservation Project,AK,"285,000",Murkowski,
National Archives and Records Administration,National Archives and Records Administration,Wrangell Cooperative Association,Voices of Our Ancestors: Preserving Elders’ Knowl- edge,AK,"130,000",Murkowski,
National Archives and Records Administration,National Archives and Records Administration,University of Colorado Colorado Springs,History Preservation and Education,CO,"348,000",Bennet,Hickenlooper
National Archives and Records Administration,National Archives and Records Administration,Columbus State University,"Supporting the Preservation and Public Accessibility of United States Military History in Columbus, Georgia",GA,"175,000",Ossoff,Warnock
National Archives and Records Administration,National Archives and Records Administration,Bishop Museum,Bishop Museum Digitization,HI,"1,581,000",Hirono,Schatz
National Archives and Records Administration,National Archives and Records Administration,Eureka College,Digitization Initiative,IL,"200,000",Durbin,
National Archives and Records Administration,National Archives and Records Administration,Galena-Jo Daviess County Historical Society,Digitization Initiative,IL,"300,000",Durbin,
National Archives and Records Administration,National Archives and Records Administration,Robert J. Dole Institute of Politics,Digitizing and Preserving Senator Bob Dole’s Ar- chives,KS,"5,292,000",Moran,
National Archives and Records Administration,National Archives and Records Administration,Nunez Community College,Los Islen˜os Cultural and Coastal Museum and Com- munity Archive,LA,"883,000",Cassidy,
National Archives and Records Administration,National Archives and Records Administration,Louisiana Endowment for the Humanities,Louisiana Humanities Disaster Preparedness and Preservation Program,LA,"750,000",Kennedy,
National Archives and Records Administration,National Archives and Records Administration,University of Maine System,Northeast Indigenous Archaeology and Heritage Science Center Record Digitization,ME,"750,000",Collins,King
National Archives and Records Administration,National Archives and Records Administration,Michigan State University,Digital Preservation of the Lansing Labor News Newspaper,MI,"210,000",Peters,Slotkin
National Archives and Records Administration,National Archives and Records Administration,Detroit Historical Society,"In Their Own Words: Collecting, Preserving and Cele- brating Detroiters’ Oral Histories",MI,"125,000",Slotkin,
National Archives and Records Administration,National Archives and Records Administration,Harriet Tubman Museum of Cape May,Documenting America250—Education Portal & Pro- gramming for the Foundations of Freedom in New Jersey,NJ,"1,000,000",Booker,Kim
National Archives and Records Administration,National Archives and Records Administration,The Desert Research Institute,Desert Research Institute—Southern Nevada Historic Preservation Project,NV,"558,000",Cortez Masto,Rosen
National Archives and Records Administration,National Archives and Records Administration,University of Nevada Reno,"University of Nevada, Reno—Repository of Tribal Cultural Artifacts",NV,"442,000",Cortez Masto,Rosen
National Archives and Records Administration,National Archives and Records Administration,Jazz at Lincoln Center Inc.,Conducting oral histories,NY,"200,000",Schumer,
National Archives and Records Administration,National Archives and Records Administration,Hofstra University,Long Island Studies Institute,NY,"459,000",Schumer,
National Archives and Records Administration,National Archives and Records Administration,Battle of Homestead Foundation,Digitizing the Battle of Homestead Foundation Labor History Archives,PA,"174,000",Fetterman,
National Archives and Records Administration,National Archives and Records Administration,Rhode Island Black Heritage Society,Preservation and Digitization of RIBHS Collections,RI,"200,000",Reed,
National Archives and Records Administration,National Archives and Records Administration,America’s Routes,Exploring America’s Routes,VA,"57,000",Kaine,Warner
National Archives and Records Administration,National Archives and Records Administration,"Skanikulat, Inc.","Oneida Language Documentation, Resource Develop- ment, and Community Out",WI,"125,000",Baldwin,
Office of National Drug Control Policy,Office of National Drug Control Policy,AK Fentanyl Response Project,Prevention and Awareness Expansion,AK,"400,000",Murkowski,
Office of National Drug Control Policy,Office of National Drug Control Policy,Community Action Center,Rice County Youth Substance Use Disorder Preven- tion,MN,"140,000",Klobuchar,Smith
Office of National Drug Control Policy,Office of National Drug Control Policy,The University of Mississippi,Rural Youth Mental Health and Substance Abuse Prevention Program,MS,"2,000,000",Hyde-Smith,Wicker
Office of National Drug Control Policy,Office of National Drug Control Policy,San Juan County Partnership,Strategic Prevention Framework,NM,"375,000",Heinrich,
Office of National Drug Control Policy,Office of National Drug Control Policy,Capacity Builders Inc. (CBI),Youth Substance Use Prevention Education,NM,"200,000",Heinrich,
Office of National Drug Control Policy,Office of National Drug Control Policy,"Schools Coastline EAP, d.b.a. Rhode Island Student As- sistance Services",Student Assistance Program: Addressing Youth Men- tal Health and Substance Use in Rhode Island,RI,"2,756,000",Reed,
Office of National Drug Control Policy,Office of National Drug Control Policy,Safe Yakima Valley,Safe Yakima Valley Youth Mentoring Program,WA,"200,000",Cantwell,
Office of National Drug Control Policy,Office of National Drug Control Policy,"Morgan County Partnership, Inc.",Adverse Childhood Experiences (ACEs) and Substance Use (SU) Mitigation Project,WV,"600,000",Justice,
Office of National Drug Control Policy,Office of National Drug Control Policy,"West Virginia Hope in Action Alliance, Inc.",WV Coalition Support for Substance Use and Suicide Prevention,WV,"400,000",Capito,
Small Business Administration,Small Business Administration,Anchorage Community Land Trust (ACLT),Set Up Shop: Empowering Entrepreneurs in Under- served Communities,AK,"200,000",Murkowski,
Small Business Administration,Small Business Administration,Athens State University,Athens State University LaunchBox,AL,"205,000",Britt,
Small Business Administration,Small Business Administration,University of North Alabama,University of North Alabama Center for Innovation,AL,"5,000,000",Britt,
Small Business Administration,Small Business Administration,City of Phoenix,City of Phoenix Start-Up—Commercialization Accel- erator,AZ,"925,000",Gallego,Kelly
Small Business Administration,Small Business Administration,City of Los Angeles,Contract Ready LA,CA,"1,000,000",Padilla,
Small Business Administration,Small Business Administration,County of Santa Clara,County of Santa Clara—Small Business Resource at the Vietnamese American Services Center,CA,"1,000,000",Padilla,Schiff
Small Business Administration,Small Business Administration,Good Business Colorado,Statewide Collaboration on Resource Navigation and Education,CO,"903,000",Bennet,Hickenlooper
Small Business Administration,Small Business Administration,Exponential Impact,Health Focused Small Business Accelerator,CO,"256,000",Bennet,Hickenlooper
Small Business Administration,Small Business Administration,Startup Colorado,Rural Small Business Software Procurement,CO,"493,000",Bennet,Hickenlooper
Small Business Administration,Small Business Administration,Arts Council of Greater New Haven,Arts Council of Greater New Haven for Skillbox: Art- ists as Small Business Initiative,CT,"194,000",Blumenthal,Murphy
Small Business Administration,Small Business Administration,CT State Northwestern,Entrepreneurial Center at CT State Northwestern for Small Business Programming,CT,"1,740,000",Murphy,
Small Business Administration,Small Business Administration,Black Business Alliance,Entrepreneurial Skill Building,CT,"1,000,000",Blumenthal,Murphy
Small Business Administration,Small Business Administration,"KNOX, Inc.","KNOX, Inc. for Urban Farmer Small Business Training",CT,"194,000",Blumenthal,Murphy
Small Business Administration,Small Business Administration,nesses University of Connecticut Small Business Devel- opment Center,UConn Small Business Development Center for Dig- ital Transformation of Connecticut Small Busi-,CT,"885,000",Blumenthal,Murphy
Small Business Administration,Small Business Administration,University of Delaware,Agricultural Business Programming,DE,"494,000",Blunt Rochester,Coons
Small Business Administration,Small Business Administration,La Plaza Delaware,Small Business Training and Assistance,DE,"300,000",Blunt Rochester,Coons
Small Business Administration,Small Business Administration,Cinnaire Lending Corporation,Technical Assistance for Local Small Real Estate De- velopment Businesses,DE,"206,000",Blunt Rochester,Coons
Small Business Administration,Small Business Administration,"Greater Wealth Works, Inc.",Empowering Small Businesses: Strategies for Growth and Sustainability,GA,"250,000",Ossoff,Warnock
Small Business Administration,Small Business Administration,"Synergies Work, Inc.",Expanding Entrepreneurship for Georgians with Dis- abilities,GA,"475,000",Ossoff,
Small Business Administration,Small Business Administration,"Georgia Gwinnett County Public Library Foundation, Inc.","Expanding Entrepreneurship in Gwinnett County,",GA,"334,000",Ossoff,
Small Business Administration,Small Business Administration,Georgia College and State University,GCSU Bobcat Business Incubator,GA,"313,000",Warnock,
Small Business Administration,Small Business Administration,Greater Georgia Black Chamber of Commerce,Greater Georgia Mobile Tech Unit,GA,"200,000",Warnock,
Small Business Administration,Small Business Administration,Georgia Hispanic Chamber of Commerce Business Development Center,Increasing Small Business Readiness in Federal Con- tracting,GA,"189,000",Ossoff,Warnock
Small Business Administration,Small Business Administration,Madison Village for Advanced Entrepreneurship,Madison Village for Advanced Entrepreneurship,GA,"400,000",Warnock,
Small Business Administration,Small Business Administration,Northeast Georgia Black Chamber of Commerce,Northeast Georgia Gateway for Business Momentum,GA,"64,000",Warnock,
Small Business Administration,Small Business Administration,Oglethorpe University,OU Entrepreneurship and Innovation Center’s Entre- preneurship Empowerment Zone,GA,"105,000",Ossoff,Warnock
Small Business Administration,Small Business Administration,GABCC Foundation,Rural Small Business Impact Initiative,GA,"500,000",Ossoff,
Small Business Administration,Small Business Administration,"University of Georgia Research Foundation, Inc.",Small Business Federal Contracting Support,GA,"500,000",Ossoff,
Small Business Administration,Small Business Administration,Athens Regional Library System,Small Business Incubator and Creative Makerspace,GA,"198,000",Ossoff,
Small Business Administration,Small Business Administration,"Library Foundation of Clayton County, Inc.","Supporting Veteran Small Businesses and Entre- preneurs in Clayton County, Georgia",GA,"300,000",Ossoff,
Small Business Administration,Small Business Administration,"ATLVets, Inc.",Supporting Veterans Transitioning to Entrepreneur- ship,GA,"223,000",Ossoff,
Small Business Administration,Small Business Administration,University of Hawaii System,Hawaii Innovation Center Hilo (Renovation),HI,"1,000,000",Hirono,
Small Business Administration,Small Business Administration,Kaua‘i Economic Development Board,Kauai Technology Hub,HI,"124,000",Schatz,
Small Business Administration,Small Business Administration,Oahu Resource Conservation and Development Council,Kunia Farmer Service Center,HI,"904,000",Schatz,
Small Business Administration,Small Business Administration,Office of Economic Revitalization,Oahu Small Business Development Initiative,HI,"404,000",Schatz,
Small Business Administration,Small Business Administration,"Chicago’s Sunshine Enterprises, Inc.",Comprehensive Small Business Programming Support,IL,"550,000",Duckworth,
Small Business Administration,Small Business Administration,Joliet Junior College,Entrepreneur & Business Center Initiative,IL,"800,000",Durbin,
Small Business Administration,Small Business Administration,Chicago Urban League,Entrepreneurship Center,IL,"513,000",Durbin,
Small Business Administration,Small Business Administration,John Wood Community College,Small Business Development Initiative,IL,"400,000",Durbin,
Small Business Administration,Small Business Administration,Rock Valley College,Small Business Educational Initiative,IL,"800,000",Durbin,
Small Business Administration,Small Business Administration,The Growing Season,The Aux Evanston: A Small Business Start Up Center,IL,"450,000",Duckworth,
Small Business Administration,Small Business Administration,Fort Hays Tech | Northwest,Rural Advanced Manufacturing Innovation Lab,KS,"1,744,000",Moran,
Small Business Administration,Small Business Administration,Jefferson Parish Economic Development & Port District (JEDCO),Greater New Orleans Food and Beverage Incubator,LA,"3,650,000",Cassidy,Kennedy
Small Business Administration,Small Business Administration,Northwestern State University,Innovation Park Equipment Expansion (IPEX) Project,LA,"1,800,000",Cassidy,Kennedy
Small Business Administration,Small Business Administration,Black Economic Council of Massachusetts,Local Small Business Development and Ecosystem Building,MA,"700,000",Markey,Warren
Small Business Administration,Small Business Administration,Eastie Farm,Regional Community Supported Agriculture,MA,"1,000,000",Markey,Warren
Small Business Administration,Small Business Administration,WMLBS.Inc dba Living Local,Venture Studio for Small Businesses in Western MA,MA,"300,000",Markey,Warren
Small Business Administration,Small Business Administration,Maryland Family Network,Expanding the Family Child Care Pipeline,MD,"770,000",Van Hollen,
Small Business Administration,Small Business Administration,Prince George’s Financial Services Corporation dba FSC First,FSC First Level Up Program,MD,"244,000",Alsobrooks,Van Hollen
Small Business Administration,Small Business Administration,Kingdom Global Community Development Coorporation,Kingdom Cares Economic Empowerment and Innova- tion Center,MD,"1,000,000",Alsobrooks,Van Hollen
Small Business Administration,Small Business Administration,Montgomery County Chamber Community Founda- tion,Veteran Institute for Procurement (VIP),MD,"2,000,000",Alsobrooks,Van Hollen
Small Business Administration,Small Business Administration,"Coastal Enterprises, Inc.",Child Care Business Lab,ME,"400,000",King,
Small Business Administration,Small Business Administration,MaineStream Finance,Rural Maine Entrepreneurship Accelerator,ME,"225,000",King,
Small Business Administration,Small Business Administration,Southern Maine Community College,SMCC Education and Training Accelerator Lab,ME,"2,237,000",Collins,
Small Business Administration,Small Business Administration,Northern Great Lakes Initiatives (dba Northern Initiatives),Operational Support for Northern Initiatives,MI,"500,000",Slotkin,
Small Business Administration,Small Business Administration,Invest Detroit Foundation,Supporting the Success of Detroit Small Business Owners,MI,"375,000",Slotkin,
Small Business Administration,Small Business Administration,Wayne State University,Supporting Wayne County Small Businesses,MI,"1,000,000",Peters,Slotkin
Small Business Administration,Small Business Administration,City of Grand Rapids,Westside Service Center Renovation Initiative,MI,"1,803,000",Peters,
Small Business Administration,Small Business Administration,Latino Economic Development Center,Accelerating Small Business Growth in Greater Min- nesota,MN,"500,000",Klobuchar,Smith
Small Business Administration,Small Business Administration,Rondo Community Land Trust,Business Technical Assistance Program,MN,"690,000",Klobuchar,Smith
Small Business Administration,Small Business Administration,Neighborhood Development Center,Measuring and Addressing Small Business Financial Health in Underinvested Communities,MN,"670,000",Klobuchar,Smith
Small Business Administration,Small Business Administration,Innovate Mississippi,Bridging the Startup Gap: Creating Mississippi’s In- novator Hub,MS,"1,495,000",Hyde-Smith,
Small Business Administration,Small Business Administration,Mississippi State University,Mississippi State University for Childcare and Entre- preneurship Program,MS,"1,500,000",Hyde-Smith,Wicker
Small Business Administration,Small Business Administration,Mississippi State University,Rural Master Entrepreneurship Volunteer Program,MS,"750,000",Hyde-Smith,Wicker
Small Business Administration,Small Business Administration,Rust College,Rust College Center for Entrepreneurship and Inno- vation,MS,"500,000",Hyde-Smith,Wicker
Small Business Administration,Small Business Administration,Hinds Community College,Small Business Owner Financial Literacy Training Program,MS,"850,000",Hyde-Smith,
Small Business Administration,Small Business Administration,The University of Mississippi,University of Mississippi for Small Business Tech- nology Program,MS,"5,000,000",Hyde-Smith,Wicker
Small Business Administration,Small Business Administration,Monadnock Economic Development Corporation,Child Care Business Development,NH,"600,000",Shaheen,
Small Business Administration,Small Business Administration,Claremont Development Authority,Claremont Small Business Center,NH,"466,000",Shaheen,
Small Business Administration,Small Business Administration,Coos Economic Development Corporation,Coos County Outdoor Economy Small Business Resil- iency Support,NH,"200,000",Shaheen,
Small Business Administration,Small Business Administration,University System of New Hampshire,NH SBDC Rural Business Advising,NH,"444,000",Shaheen,
Small Business Administration,Small Business Administration,Strafford Economic Development Corporation,Strafford EDC Technical Assistance Project,NH,"300,000",Shaheen,
Small Business Administration,Small Business Administration,Early Learning New Hampshire,Strengthening New Hampshire Childcare Small Busi- nesses,NH,"1,001,000",Shaheen,
Small Business Administration,Small Business Administration,Rutgers University-Camden,Center for South Jersey Economic Development,NJ,"370,000",Booker,
Small Business Administration,Small Business Administration,NJ State Veterans Chamber of Commerce,Small & Diverse Business Training Platform and Net- work Development,NJ,"630,000",Booker,
Small Business Administration,Small Business Administration,Downtown Taos Inc (Taos MainStreet),Business Resource and Innovation Center (BRIC),NM,"250,000",Heinrich,
Small Business Administration,Small Business Administration,City of Albuquerque Economic Development De- partment,CABQ Small Business Assistance,NM,"388,000",Heinrich,
Small Business Administration,Small Business Administration,Indian Pueblo Cultural Center,Indian Pueblo Entrepreneur Complex,NM,"1,000,000",Heinrich,Lujan
Small Business Administration,Small Business Administration,Women’s Economic Self-Sufficiency Team (WESST),Key Industry Small Business Accelerators,NM,"650,000",Heinrich,
Small Business Administration,Small Business Administration,Northern Rio Grande National Heritage Area,New Mexico Heritage Entrepreneurial Academy,NM,"633,000",Heinrich,Lujan
Small Business Administration,Small Business Administration,The Middle Rio Grande Economic Development Association,Rural Small Business Marketing and Development,NM,"150,000",Heinrich,
Small Business Administration,Small Business Administration,City of Albuquerque,Southern New Mexico Technical Assistance Program,NM,"200,000",Lujan,
Small Business Administration,Small Business Administration,Vida Mejor Capital,Vida Mejor Capital Navigation Services Center,NM,"167,000",Heinrich,Lujan
Small Business Administration,Small Business Administration,Northern Nevada Development Authority,Northern Nevada Development Authority—Northern Nevada Center of Excellence Small Business Incu- bator,NV,"1,000,000",Cortez Masto,Rosen
Small Business Administration,Small Business Administration,Yeshiva University,Global Entrepreneurship Support and Business Inno- vation Program Expansion,NY,"500,000",Schumer,
Small Business Administration,Small Business Administration,Staten Island Chamber of Commerce Foundation Inc,Human Resource Services Support for Small Busi- nesses,NY,"500,000",Schumer,
Small Business Administration,Small Business Administration,Korean American Civic Empowerment for Commu- nity,Small Business Program,NY,"500,000",Schumer,
Small Business Administration,Small Business Administration,Staten Island Chamber of Commerce Foundation Inc,Staten Island Chamber of Commerce—New York City Small Business Resource Network (SBRN),NY,"3,000,000",Gillibrand,
Small Business Administration,Small Business Administration,Bridge Street Development Corporation,Support for Small Businesses in Central Brooklyn,NY,"446,000",Schumer,
Small Business Administration,Small Business Administration,"Asian American Federation, Inc.",Technical Assistance and Seminars for Small Busi- nesses Expanding Online Presence,NY,"500,000",Gillibrand,Schumer
Small Business Administration,Small Business Administration,Built Oregon,Built Oregon Small Business Market Growth and Support Program,OR,"200,000",Merkley,Wyden
Small Business Administration,Small Business Administration,Native American Youth Alliance,Native Business Accelerator Program,OR,"551,000",Merkley,Wyden
Small Business Administration,Small Business Administration,North Coast Food Web,North Coast Food Web Facilities,OR,"610,000",Merkley,Wyden
Small Business Administration,Small Business Administration,City of Pendleton,Oregon UAS Accelerator,OR,"2,000,000",Merkley,Wyden
Small Business Administration,Small Business Administration,"REAP, Inc.",REAP Young Entrepreneurs Program,OR,"652,000",Merkley,Wyden
Small Business Administration,Small Business Administration,Innovation Works,New Accelerator Model Project,PA,"750,000",McCormick,
Small Business Administration,Small Business Administration,Catalyst Connection,Pennsylvania AI Data Centers & Energy Future,PA,"600,000",Fetterman,McCormick
Small Business Administration,Small Business Administration,Bedford County Development Association,Rural Entrepreneurial Technical Assistance Project in Bedford County,PA,"350,000",Fetterman,McCormick
Small Business Administration,Small Business Administration,Ben Franklin Technology Partners of Northeastern Pennsylvania,TechVentures Lab Initiative,PA,"4,800,000",McCormick,
Small Business Administration,Small Business Administration,University City Science Center,University City Science Center’s Pathways to SBIR/ STTR,PA,"400,000",Fetterman,McCormick
Small Business Administration,Small Business Administration,The University of Rhode Island Research Founda- tion dba Polaris MEP,Advancing RI Manufacturing,RI,"310,000",Reed,
Small Business Administration,Small Business Administration,Beautiful Day,Beautiful Day Food Entrepreneurship Program,RI,"1,650,000",Reed,
Small Business Administration,Small Business Administration,Farm Fresh Rhode Island,Farm Fresh Small Business Supports,RI,"700,000",Reed,
Small Business Administration,Small Business Administration,Hope & Main,Hope & Main Providence,RI,"1,700,000",Reed,
Small Business Administration,Small Business Administration,Olneyville Housing Corporation DBA ONE Neigh- borhood Builders,ONB Small Business Technical Assistance,RI,"385,000",Reed,
Small Business Administration,Small Business Administration,RI Commerce Corporation,Preparing RI Businesses for Growing Cybersecurity Needs,RI,"380,000",Whitehouse,
Small Business Administration,Small Business Administration,Providence Revolving Fund,Providence Revolving Fund Small Business Assist- ance Program,RI,"125,000",Reed,Whitehouse
Small Business Administration,Small Business Administration,Residential Construction Workforce Partnership (RCWP),Residential Construction Small Business Supports,RI,"450,000",Reed,
Small Business Administration,Small Business Administration,RIHub,RIHub Startup Incubator,RI,"495,000",Reed,Whitehouse
Small Business Administration,Small Business Administration,Bryant University,Small Business AI Training,RI,"1,600,000",Reed,
Small Business Administration,Small Business Administration,The Rhode Island Hispanic Chamber of Com- merce,Strategically Growing the Reach of the Chamber,RI,"200,000",Reed,
Small Business Administration,Small Business Administration,City of Roanoke,Roanoke Biotechnology Ecosystem Equipment Essen- tial (Project RBE),VA,"1,000,000",Kaine,Warner
Small Business Administration,Small Business Administration,The Advancement Foundation,Rural Prosperity Program @ Virginia Innovation Ac- celerator,VA,"943,000",Kaine,Warner
Small Business Administration,Small Business Administration,Vermont Housing & Conservation Board,Growing Vermont’s Working Lands Economy for Small Businesses,VT,"750,000",Welch,
Small Business Administration,Small Business Administration,Vermont Employee Ownership Center Inc.,Southern Vermont Outreach and Employee Ownership Governance Programming,VT,"445,000",Sanders,
Small Business Administration,Small Business Administration,Vermont Department of Economic Development,Technical Assistance to Small Businesses for Navi- gating Changes to International Trade,VT,"250,000",Welch,
Small Business Administration,Small Business Administration,Vermont Law and Graduate School,Vermont Small Business Legal Resilience Project at Vermont Law and Graduate School,VT,"555,000",Sanders,
Small Business Administration,Small Business Administration,Seattle Good Business Network,Shared Food Facility,WA,"2,000,000",Murray,
Small Business Administration,Small Business Administration,Support for Early Learning & Families (SELF),SW Washington Child Care Partnership,WA,"1,034,000",Murray,
Small Business Administration,Small Business Administration,Northwest Native Chamber,Technical Assistance for Small Business Startup and Entrepreneurship Growth in Washington,WA,"2,000,000",Cantwell,Murray
Small Business Administration,Small Business Administration,Hmong Wisconsin Chamber of Commerce,Hmong Chamber Innovation Hub,WI,"1,687,000",Baldwin,
Small Business Administration,Small Business Administration,"Sherman Phoenix Foundation, Inc.",Sherman Phoenix Foundation—Phoenix Rise MKE,WI,"959,000",Baldwin,
Small Business Administration,Small Business Administration,UW–Stout Center for Innovation and Development (CID),University of Wisconsin-Stout,WI,"202,000",Baldwin,
Small Business Administration,Small Business Administration,Wisconsin Technology Council,Wisconsin Technology Council,WI,"40,000",Baldwin,
Small Business Administration,Small Business Administration,Capital Area Development Corporation of West Virginia dba Charleston Area Alliance,Charleston Area Alliance Small Business Incubator Modernization,WV,"800,000",Capito,
Small Business Administration,Small Business Administration,City of Fairmont,Fac¸ade Improvement Program,WV,"500,000",Justice,
Small Business Administration,Small Business Administration,Advantage Valley Community Development Cor- poration,FASTER WV Support for Entrepreneurial Development,WV,"690,000",Justice,
Small Business Administration,Small Business Administration,Hatfield McCoy Convention & Visitors Bureau,Growing Small Businesses in Man and Logan,WV,"500,000",Capito,Justice
Small Business Administration,Small Business Administration,Marshall University,Marshall University Aviation,WV,"2,502,000",Capito,Justice
Small Business Administration,Small Business Administration,Putnam County Development Authority,PCDA Former Kanawha Manufacturing Building Re- habilitation,WV,"500,000",Capito,
Small Business Administration,Small Business Administration,"County, WV New River Gorge Regional Development Authority",Public-Private Childcare Cohort Model—Raleigh,WV,"750,000",Capito,Justice
Small Business Administration,Small Business Administration,"WV Hive Network, Inc.",Rise Together: Building Businesses and Community Capacity,WV,"750,000",Capito,Justice
Small Business Administration,Small Business Administration,"West Virginia Food and Farm Coalition, Inc.",Strengthening Rural Economies Project,WV,"748,000",Capito,
Small Business Administration,Small Business Administration,West Virginia Women Work,Strengthening Small Businesses in WV,WV,"500,000",Capito,Justice
Small Business Administration,Small Business Administration,West Virginia Department of Agriculture,WVDA West Virginia Grown Expansion Through Mar- keting & Trainings,WV,"371,000",Capito,Justice